Time,Country Name,ISO,FDI inflows,GDP per capita
2021,Uzbekistan,UZB,2280186856,1993.424478
2020,Tonga,TON,3824444.911,4605.970841
2021,Mongolia,MNG,2173385310,4566.14013
2021,Tonga,TON,3804038.142,4425.971492
2020,"Egypt, Arab Rep.",EGY,5851800000,3571.556907
2020,El Salvador,SLV,386532637.7,3961.726633
2020,"Venezuela, RB",VEN,-456000000,
2021,St. Lucia,LCA,108895113.1,10916.22708
2021,Greenland,GRL,,57116.29577
2020,Ukraine,UKR,304000000,3751.737305
2020,Russian Federation,RUS,9478810000,10194.44141
2020,Kazakhstan,KAZ,7205989084,9121.636409
2020,Honduras,HND,236016866.2,2354.121434
2021,Bulgaria,BGR,2499330000,12219.34187
2021,Tajikistan,TJK,84038181.46,916.6919671
2021,"Bahamas, The",BHS,383064779.1,28260.43255
2020,Bhutan,BTN,-2786960.89,3181.339747
2020,St. Kitts and Nevis,KNA,2838723.078,18553.65714
2020,Greenland,GRL,,54693.07668
2021,St. Kitts and Nevis,KNA,23931799.25,18035.38614
2021,Georgia,GEO,1278069460,5023.274384
2020,Nicaragua,NIC,746500000,1876.607378
2020,Guatemala,GTM,1004371660,4609.897258
2020,Kyrgyz Republic,KGZ,-401518600,1256.929226
2021,Bhutan,BTN,6783112.488,3560.197705
2020,Jamaica,JAM,265100553.6,4897.26475
2021,Kyrgyz Republic,KGZ,226205400,1365.508304
2021,Libya,LBY,603000000,5908.951323
2020,Bangladesh,BGD,1525312160,2233.305901
2021,Armenia,ARM,366445214.8,4972.783204
2021,Syrian Arab Republic,SYR,,420.6227052
2020,Philippines,PHL,6822133291,3224.422811
2020,St. Vincent and the Grenadines,VCT,65244280.38,8306.360493
2020,Syrian Arab Republic,SYR,,537.0902346
2020,Mongolia,MNG,1719115942,4041.174146
2020,Ecuador,ECU,1094850901,5645.19929
2020,Armenia,ARM,58582750.12,4505.867742
2021,Belarus,BLR,1230721862,7489.718947
2021,Peru,PER,7419858360,6635.464148
2021,Bangladesh,BGD,1723856464,2457.924039
2020,Belarus,BLR,1393200000,6542.86454
2020,Libya,LBY,,7034.658364
2021,Oman,OMN,8793237971,19509.46646
2020,Suriname,SUR,1039899.705,4796.533314
2021,Dominican Republic,DOM,3349700000,8476.749639
2020,"Bahamas, The",BHS,434599799.8,23998.26802
2021,Serbia,SRB,4600176721,9232.961606
2021,Brazil,BRA,46440503520,7696.78483
2020,Georgia,GEO,556279509.1,4255.742993
2021,Samoa,WSM,8948924.655,3857.689742
2020,Samoa,WSM,4426082.016,4042.722752
2021,Dominica,DMA,28338715.13,7668.158132
2021,Colombia,COL,9561335277,6182.707099
2020,Belize,BLZ,76202813.5,5185.15807
2020,Dominican Republic,DOM,2460600000,7167.914974
2021,Romania,ROU,11738217410,14946.62497
2021,Trinidad and Tobago,TTO,-934781798.4,16056.30204
2020,Paraguay,PRY,198452641.8,5353.348065
2020,"Korea, Dem. People's Rep.",PRK,6338705.6,
2021,Latvia,LVA,3700189598,20930.39824
2021,"Korea, Dem. People's Rep.",PRK,18116857.9,
2021,Seychelles,SYC,111455091.6,12963.05898
2020,St. Lucia,LCA,99135484.68,8951.524766
2021,West Bank and Gaza,PSE,353477054.9,3678.635657
2021,Viet Nam,VNM,15660000000,3756.488901
2020,Dominica,DMA,22837136,7003.469891
2020,Bulgaria,BGR,3594550000,10148.3424
2020,Peru,PER,791099206.4,6063.626923
2021,Ecuador,ECU,648010150.9,5965.132871
2021,Mauritius,MUS,253189252.8,9068.980181
2021,Cuba,CUB,,
2021,Tunisia,TUN,547411353.6,3807.184109
2021,Montenegro,MNE,693740795.7,9465.96153
2021,Nicaragua,NIC,1220100000,2064.929246
2021,"Iran, Islamic Rep.",IRN,1425000000,4084.200305
2020,Morocco,MAR,1418713119,3258.269043
2021,Sint Maarten (Dutch part),SXM,26815119.61,31711.61199
2020,Brazil,BRA,38270116307,6923.699912
2021,Morocco,MAR,2264148625,3767.524902
2021,Cabo Verde,CPV,91456883.26,3398.165376
2020,Mauritius,MUS,224668082.8,9011.042884
2020,Romania,ROU,3602418172,13047.45666
2021,Jordan,JOR,621830985.9,4152.757954
2021,Lithuania,LTU,2971618905,23849.6157
2020,North Macedonia,MKD,7693779.704,5965.450232
2020,West Bank and Gaza,PSE,79744992.32,3233.568638
2020,Trinidad and Tobago,TTO,1055969148,13705.90023
2020,Algeria,DZA,1143918160,3354.153164
2021,Hungary,HUN,31686491876,18753.04695
2020,Serbia,SRB,3485786683,7733.803469
2021,British Virgin Islands,VGB,39361498410,
2021,North Macedonia,MKD,696255528.1,6778.562878
2020,Sint Maarten (Dutch part),SXM,22167460.04,29223.06962
2021,Turks and Caicos Islands,TCA,28690277.7,23158.6379
2021,Aruba,ABW,133545121.2,29127.75938
2021,Brunei Darussalam,BRN,204749379.8,31448.91275
2021,Slovak Republic,SVK,2719672547,21768.14867
2020,Oman,OMN,1913654096,16707.62301
2020,Colombia,COL,7458624984,5304.289129
2020,Brunei Darussalam,BRN,565542275.4,27179.35289
2020,Cabo Verde,CPV,67619883.92,3126.399859
2020,"Iran, Islamic Rep.",IRN,1342000000,2746.419483
2021,Malaysia,MYS,20245157327,11134.62295
2020,Grenada,GRD,141277504.9,8437.536782
2021,Grenada,GRD,152223567.2,9010.5128
2020,Lithuania,LTU,4505744062,20381.85578
2020,Turks and Caicos Islands,TCA,30418888.8,20882.26127
2021,Lebanon,LBN,599778320.7,4136.146575
2020,Jordan,JOR,760281690.1,3998.673138
2020,Latvia,LVA,950092500,18096.20271
2020,Tunisia,TUN,623075275.9,3497.719027
2021,Bosnia and Herzegovina,BIH,734510363.7,7230.198838
2020,Viet Nam,VNM,15800000000,3586.347176
2021,Argentina,ARG,6902840208,10650.86046
2021,Uruguay,URY,3447525718,17923.99533
2020,Hungary,HUN,1.68E+11,16125.60941
2021,Poland,POL,36172000000,18050.27944
2020,Aruba,ABW,161066979.1,24008.12782
2020,British Virgin Islands,VGB,39619635210,
2020,Turkiye,TUR,7700000000,8638.739133
2020,Argentina,ARG,4884127676,8500.837939
2020,Montenegro,MNE,530903011.5,7677.371321
2020,Malaysia,MYS,4058769679,10164.34443
2021,Turkiye,TUR,13325000000,9743.213131
2021,Panama,PAN,1352608288,15491.2898
2020,Bosnia and Herzegovina,BIH,483278992.9,6095.104237
2020,Saudi Arabia,SAU,1621264195,20398.06099
2021,United States,USA,4.93E+11,70219.47245
2021,Algeria,DZA,869151161.7,3700.314697
2020,Sri Lanka,LKA,434075668.5,3852.389091
2021,Sri Lanka,LKA,592289969.9,3996.571995
2021,Croatia,HRV,4680375500,17809.03239
2021,Albania,ALB,1218586452,6377.203096
2020,Poland,POL,19151000000,15816.8204
2020,Kosovo,XKX,394625250.5,4310.934002
2020,Guam,GUM,,34780.86166
2021,Guam,GUM,,35904.86355
2020,Panama,PAN,-2488644150,13293.3332
2021,Estonia,EST,7540406182,27943.70122
2021,Kosovo,XKX,500927943.3,5269.783901
2020,Slovak Republic,SVK,-1141703441,19552.09111
2020,Kuwait,KWT,-558055522.6,24297.7108
2021,Saudi Arabia,SAU,23111903141,24315.61855
2020,United States,USA,1.38E+11,63528.6343
2020,Albania,ALB,1069744880,5343.037704
2021,Costa Rica,CRI,3592802258,12604.04884
2020,Seychelles,SYC,80053481.41,12020.02106
2021,Czechia,CZE,12890950336,26822.51419
2020,Barbados,BRB,262100000,16882.50152
2020,Cuba,CUB,,9499.572504
2021,Barbados,BRB,238735064.3,17507.46799
2020,Croatia,HRV,1251530442,14269.90885
2020,Lebanon,LBN,1606894722,5599.957523
2020,Puerto Rico,PRI,,31427.42911
2020,China,CHN,2.53E+11,10408.71955
2021,China,CHN,3.44E+11,12617.5051
2020,Czechia,CZE,8515481808,22992.87938
2020,Uruguay,URY,528083899.3,15650.4993
